UserId,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,UserSegment
7880,30,37,200,5,4,5,14,Champions
7982,1423,7,39,1,2,3,6,Lost
7993,123,43,84,4,4,4,12,Champions
8086,185,12,27,3,3,2,8,Loyal Users
8389,4841,5,7,1,1,1,3,Lost
8592,670,67,318,2,5,5,12,At Risk
8638,840,15,35,2,3,3,8,Casual Users
9376,124,21,36,4,3,3,10,Loyal Users
9427,377,6,9,3,1,1,5,Casual Users
9465,16,76,258,5,5,5,15,Champions
9852,12,19,64,5,3,4,12,Loyal Users
9900,824,7,10,2,2,1,5,Lost
10206,121,13,25,4,3,2,9,Loyal Users
10362,894,6,19,2,1,2,5,Lost
10623,439,7,16,3,2,2,7,Casual Users
10817,1439,9,9,1,2,1,4,Lost
11033,170,45,279,3,4,5,12,Loyal Users
11141,3615,6,13,1,1,1,3,Lost
11317,120,57,73,4,5,4,13,Champions
11458,128,18,40,4,3,3,10,Loyal Users
11748,82,36,142,4,4,4,12,Champions
11858,1950,16,27,1,3,2,6,Casual Users
12027,1769,16,46,1,3,3,7,Casual Users
12046,1905,8,22,1,2,2,5,Lost
12799,1168,10,18,2,2,2,6,Lost
12940,168,41,67,3,4,4,11,Loyal Users
13285,1170,15,57,2,3,3,8,Casual Users
13289,104,48,105,4,5,4,13,Champions
243,1140,12,20,2,3,2,7,Casual Users
392,21,58,141,5,5,4,14,Champions
540,807,6,11,2,1,1,4,Lost
623,108,19,159,4,3,5,12,Loyal Users
737,127,57,248,4,5,5,14,Champions
858,722,12,23,2,3,2,7,Casual Users
897,114,77,233,4,5,5,14,Champions
1025,300,13,73,3,3,4,10,Loyal Users
1084,835,20,115,2,3,4,9,Casual Users
1127,177,9,24,3,2,2,7,Casual Users
1395,286,68,203,3,5,5,13,Loyal Users
1460,361,7,28,3,2,2,7,Casual Users
1483,110,11,60,4,2,3,9,Promising
1507,177,39,67,3,4,4,11,Loyal Users
1522,1833,6,13,1,1,1,3,Lost
1721,2807,31,52,1,4,3,8,At Risk
1896,1447,10,58,1,2,3,6,Lost
1990,35,11,23,5,2,2,9,Promising
2235,28,19,87,5,3,4,12,Loyal Users
2387,146,51,178,4,5,5,14,Champions
2563,115,20,41,4,3,3,10,Loyal Users
2580,564,14,19,2,3,2,7,Casual Users
2811,79,29,63,4,4,4,12,Champions
2999,1405,11,42,1,2,3,6,Lost
3179,26,5,12,5,1,1,7,Promising
3226,421,6,11,3,1,1,5,Casual Users
3475,276,9,15,3,2,1,6,Casual Users
3698,1212,14,28,2,3,2,7,Casual Users
4158,186,15,65,3,3,4,10,Loyal Users
4161,1344,5,11,1,1,1,3,Lost
4190,2474,15,81,1,3,4,8,Casual Users
4219,158,11,30,4,2,2,8,Promising
4929,35,12,14,5,3,1,9,Loyal Users
5614,673,13,18,2,3,2,7,Casual Users
6393,303,34,70,3,4,4,11,Loyal Users
6623,32,80,481,5,5,5,15,Champions
6773,2310,20,88,1,3,4,8,Casual Users
7168,1819,15,94,1,3,4,8,Casual Users
7417,335,5,6,3,1,1,5,Casual Users
8105,9,142,507,5,5,5,15,Champions
8803,1122,32,102,2,4,4,10,At Risk
8928,349,51,65,3,5,4,12,Loyal Users
8932,32,74,337,5,5,5,15,Champions
9182,116,19,70,4,3,4,11,Loyal Users
9564,5,9,15,5,2,1,8,Promising
9879,61,127,781,5,5,5,15,Champions
10081,2488,34,255,1,4,5,10,At Risk
10121,1688,8,23,1,2,2,5,Lost
10230,429,5,5,3,1,1,5,Casual Users
10462,3148,18,37,1,3,3,7,Casual Users
10703,260,8,25,3,2,2,7,Casual Users
10914,1,66,129,5,5,4,14,Champions
11280,886,9,32,2,2,3,7,Lost
11316,1434,9,20,1,2,2,5,Lost
11500,849,5,15,2,1,1,4,Lost
11710,118,20,31,4,3,2,9,Loyal Users
12006,368,13,16,3,3,2,8,Loyal Users
12367,1230,5,7,2,1,1,4,Lost
12471,12,38,49,5,4,3,12,Loyal Users
12611,23,5,23,5,1,2,8,Promising
12626,277,7,8,3,2,1,6,Casual Users
12715,1363,8,12,1,2,1,4,Lost
13261,92,112,327,4,5,5,14,Champions
31,1052,19,29,2,3,2,7,Casual Users
516,105,16,17,4,3,2,9,Loyal Users
1139,264,54,249,3,5,5,13,Loyal Users
1143,8,5,10,5,1,1,7,Promising
1270,1734,12,13,1,3,1,5,Casual Users
1303,6,30,57,5,4,3,12,Loyal Users
1322,119,34,169,4,4,5,13,Champions
1339,6,18,94,5,3,4,12,Loyal Users
1352,1522,13,17,1,3,2,6,Casual Users
1618,74,92,170,4,5,5,14,Champions
1650,237,22,34,3,4,3,10,Loyal Users
1699,59,40,77,5,4,4,13,Champions
1903,278,19,58,3,3,3,9,Loyal Users
2393,3720,5,6,1,1,1,3,Lost
2572,1381,8,15,1,2,1,4,Lost
2711,4,103,607,5,5,5,15,Champions
2776,176,124,189,3,5,5,13,Loyal Users
2821,403,43,83,3,4,4,11,Loyal Users
2996,55,58,238,5,5,5,15,Champions
3000,713,8,14,2,2,1,5,Lost
3213,117,12,109,4,3,4,11,Loyal Users
3352,107,10,17,4,2,2,8,Promising
3488,450,17,58,3,3,3,9,Loyal Users
3704,535,5,13,2,1,1,4,Lost
3761,1165,9,17,2,2,2,6,Lost
4391,15,7,25,5,2,2,9,Promising
4489,1678,7,31,1,2,2,5,Lost
5071,304,16,45,3,3,3,9,Loyal Users
5117,5,40,115,5,4,4,13,Champions
5173,121,53,147,4,5,5,14,Champions
5287,312,6,10,3,1,1,5,Casual Users
5345,1030,9,10,2,2,1,5,Lost
5984,308,63,301,3,5,5,13,Loyal Users
6266,128,27,38,4,4,3,11,Loyal Users
6482,3165,36,45,1,4,3,8,At Risk
6559,415,30,211,3,4,5,12,Loyal Users
6622,409,13,62,3,3,3,9,Loyal Users
6825,39,6,27,5,1,2,8,Promising
7281,440,9,43,3,2,3,8,Casual Users
7387,694,6,47,2,1,3,6,Lost
7850,1832,9,113,1,2,4,7,Lost
7879,131,31,108,4,4,4,12,Champions
8222,1251,10,26,2,2,2,6,Lost
8257,100,42,142,4,4,4,12,Champions
8407,3623,6,79,1,1,4,6,Lost
8924,2869,6,19,1,1,2,4,Lost
9162,464,32,112,3,4,4,11,Loyal Users
9383,129,15,28,4,3,2,9,Loyal Users
9454,30,51,94,5,5,4,14,Champions
9517,259,25,55,3,4,3,10,Loyal Users
9558,1140,12,33,2,3,3,8,Casual Users
10708,198,15,16,3,3,2,8,Loyal Users
10798,80,28,66,4,4,4,12,Champions
10862,97,6,12,4,1,1,6,Promising
11025,2034,36,226,1,4,5,10,At Risk
11393,92,10,56,4,2,3,9,Promising
11639,1125,12,17,2,3,2,7,Casual Users
11800,1118,10,21,2,2,2,6,Lost
11936,4923,6,20,1,1,2,4,Lost
12139,1670,5,9,1,1,1,3,Lost
12393,173,85,256,3,5,5,13,Loyal Users
12998,2791,5,11,1,1,1,3,Lost
13009,33,93,376,5,5,5,15,Champions
13060,139,47,134,4,5,4,13,Champions
13207,305,38,88,3,4,4,11,Loyal Users
13483,89,5,6,4,1,1,6,Promising
85,3939,7,12,1,2,1,4,Lost
137,404,23,104,3,4,4,11,Loyal Users
251,67,6,9,5,1,1,7,Promising
451,1223,15,45,2,3,3,8,Casual Users
580,2835,5,29,1,1,2,4,Lost
808,137,8,23,4,2,2,8,Promising
1265,7,16,21,5,3,2,10,Loyal Users
1884,985,20,78,2,3,4,9,Casual Users
1975,1137,8,22,2,2,2,6,Lost
2025,55,13,71,5,3,4,12,Loyal Users
2231,1511,14,28,1,3,2,6,Casual Users
2259,155,34,341,4,4,5,13,Champions
2443,4368,10,11,1,2,1,4,Lost
2488,1158,15,51,2,3,3,8,Casual Users
2525,19,16,32,5,3,3,11,Loyal Users
2721,295,17,31,3,3,2,8,Loyal Users
2748,26,25,293,5,4,5,14,Champions
2923,1176,11,12,2,2,1,5,Lost
3089,57,22,166,5,4,5,14,Champions
3098,3790,8,13,1,2,1,4,Lost
3220,275,21,45,3,3,3,9,Loyal Users
3490,478,30,44,2,4,3,9,At Risk
3796,2730,13,19,1,3,2,6,Casual Users
3876,69,6,23,5,1,2,8,Promising
3986,365,14,20,3,3,2,8,Loyal Users
4042,1647,26,40,1,4,3,8,At Risk
4078,865,15,36,2,3,3,8,Casual Users
4186,158,83,235,4,5,5,14,Champions
4239,1569,15,53,1,3,3,7,Casual Users
4364,4402,5,31,1,1,2,4,Lost
4684,417,12,39,3,3,3,9,Loyal Users
4937,282,13,113,3,3,4,10,Loyal Users
5074,1955,9,62,1,2,3,6,Lost
5155,280,38,158,3,4,5,12,Loyal Users
5223,311,13,51,3,3,3,9,Loyal Users
5308,42,71,387,5,5,5,15,Champions
5482,409,9,9,3,2,1,6,Casual Users
6361,2,36,70,5,4,4,13,Champions
6597,5,16,82,5,3,4,12,Loyal Users
6598,92,8,15,4,2,1,7,Promising
7066,436,13,27,3,3,2,8,Loyal Users
7098,9,46,86,5,5,4,14,Champions
7120,581,16,26,2,3,2,7,Casual Users
7530,1004,12,49,2,3,3,8,Casual Users
7644,110,36,138,4,4,4,12,Champions
7910,114,11,38,4,2,3,9,Promising
8109,195,34,170,3,4,5,12,Loyal Users
8650,856,17,36,2,3,3,8,Casual Users
8743,96,21,81,4,3,4,11,Loyal Users
8779,6,57,89,5,5,4,14,Champions
8911,398,27,41,3,4,3,10,Loyal Users
9071,136,6,16,4,1,2,7,Promising
9169,411,16,46,3,3,3,9,Loyal Users
9946,177,37,188,3,4,5,12,Loyal Users
10468,1509,21,137,1,3,4,8,Casual Users
10745,0,113,343,5,5,5,15,Champions
10768,2168,12,143,1,3,4,8,Casual Users
11146,2323,6,18,1,1,2,4,Lost
11630,35,23,61,5,4,3,12,Loyal Users
11713,1538,9,12,1,2,1,4,Lost
12292,520,12,29,2,3,2,7,Casual Users
12366,2603,17,38,1,3,3,7,Casual Users
13188,2665,7,13,1,2,1,4,Lost
13465,893,5,19,2,1,2,5,Lost
13508,3570,27,34,1,4,3,8,At Risk
65,271,10,22,3,2,2,7,Casual Users
458,2,47,142,5,5,4,14,Champions
879,425,26,39,3,4,3,10,Loyal Users
883,8,9,20,5,2,2,9,Promising
1223,14,77,182,5,5,5,15,Champions
1977,1,31,93,5,4,4,13,Champions
2096,706,14,22,2,3,2,7,Casual Users
2249,86,14,29,4,3,2,9,Loyal Users
2392,3,61,135,5,5,4,14,Champions
2622,2,36,65,5,4,4,13,Champions
2655,233,39,223,3,4,5,12,Loyal Users
2656,165,57,189,4,5,5,14,Champions
2833,702,7,8,2,2,1,5,Lost
2924,3568,7,13,1,2,1,4,Lost
3377,507,6,8,2,1,1,4,Lost
3425,86,28,72,4,4,4,12,Champions
3561,95,92,153,4,5,5,14,Champions
3566,1158,56,124,2,5,4,11,At Risk
3834,809,43,72,2,4,4,10,At Risk
3913,670,45,199,2,4,5,11,At Risk
4000,274,5,22,3,1,2,6,Casual Users
4294,393,35,106,3,4,4,11,Loyal Users
4307,703,5,16,2,1,2,5,Lost
4383,244,11,13,3,2,1,6,Casual Users
4957,124,70,156,4,5,5,14,Champions
5157,150,19,56,4,3,3,10,Loyal Users
5217,29,31,167,5,4,5,14,Champions
5433,646,8,9,2,2,1,5,Lost
5513,0,20,49,5,3,3,11,Loyal Users
5578,1589,6,18,1,1,2,4,Lost
5682,396,8,15,3,2,1,6,Casual Users
5695,101,71,185,4,5,5,14,Champions
5697,140,67,108,4,5,4,13,Champions
5740,37,60,226,5,5,5,15,Champions
5907,688,11,13,2,2,1,5,Lost
6154,1,78,373,5,5,5,15,Champions
6301,210,19,98,3,3,4,10,Loyal Users
6500,3895,5,7,1,1,1,3,Lost
6934,676,6,26,2,1,2,5,Lost
6962,2153,23,66,1,4,4,9,At Risk
7152,75,47,174,4,5,5,14,Champions
7324,26,8,14,5,2,1,8,Promising
7333,91,6,8,4,1,1,6,Promising
7576,1571,12,42,1,3,3,7,Casual Users
7661,299,9,19,3,2,2,7,Casual Users
8211,53,10,28,5,2,2,9,Promising
8501,0,45,82,5,4,4,13,Champions
8577,127,8,40,4,2,3,9,Promising
8665,842,29,56,2,4,3,9,At Risk
8678,348,16,101,3,3,4,10,Loyal Users
8716,51,109,339,5,5,5,15,Champions
9153,838,9,13,2,2,1,5,Lost
9206,709,5,8,2,1,1,4,Lost
9403,128,41,173,4,4,5,13,Champions
9597,517,48,258,2,5,5,12,At Risk
9647,191,12,68,3,3,4,10,Loyal Users
9775,536,8,23,2,2,2,6,Lost
10032,237,45,268,3,4,5,12,Loyal Users
10395,846,11,23,2,2,2,6,Lost
10527,15,46,103,5,5,4,14,Champions
10567,2426,8,24,1,2,2,5,Lost
10632,1366,11,40,1,2,3,6,Lost
10788,730,16,104,2,3,4,9,Casual Users
10815,254,29,37,3,4,3,10,Loyal Users
10840,3182,6,30,1,1,2,4,Lost
11352,4880,7,23,1,2,2,5,Lost
11482,1264,13,36,1,3,3,7,Casual Users
11520,69,5,14,5,1,1,7,Promising
11745,127,17,32,4,3,3,10,Loyal Users
11928,527,43,308,2,4,5,11,At Risk
12210,1587,8,30,1,2,2,5,Lost
12249,573,15,19,2,3,2,7,Casual Users
12284,161,32,90,4,4,4,12,Champions
12322,3247,21,74,1,3,4,8,Casual Users
12607,102,54,103,4,5,4,13,Champions
13225,16,38,119,5,4,4,13,Champions
13329,1105,79,399,2,5,5,12,At Risk
13398,4763,6,8,1,1,1,3,Lost
13504,672,10,34,2,2,3,7,Lost
53,657,6,19,2,1,2,5,Lost
255,1420,5,6,1,1,1,3,Lost
481,133,20,56,4,3,3,10,Loyal Users
588,1655,7,12,1,2,1,4,Lost
799,317,15,22,3,3,2,8,Loyal Users
804,46,45,199,5,4,5,14,Champions
898,351,76,344,3,5,5,13,Loyal Users
970,2847,48,155,1,5,5,11,At Risk
1157,10,101,438,5,5,5,15,Champions
2027,143,44,110,4,4,4,12,Champions
2156,150,5,22,4,1,2,7,Promising
2247,408,58,147,3,5,5,13,Loyal Users
2559,1339,9,20,1,2,2,5,Lost
2802,2266,7,11,1,2,1,4,Lost
2914,1105,15,15,2,3,1,6,Casual Users
3028,424,12,75,3,3,4,10,Loyal Users
3042,447,16,124,3,3,4,10,Loyal Users
3105,145,9,13,4,2,1,7,Promising
3631,1213,8,26,2,2,2,6,Lost
3790,2538,16,16,1,3,2,6,Casual Users
4092,210,35,64,3,4,4,11,Loyal Users
4357,119,36,87,4,4,4,12,Champions
4477,259,11,30,3,2,2,7,Casual Users
5110,217,18,33,3,3,3,9,Loyal Users
5527,158,8,24,4,2,2,8,Promising
5847,9,32,213,5,4,5,14,Champions
5995,618,40,231,2,4,5,11,At Risk
6176,381,7,12,3,2,1,6,Casual Users
6396,833,29,101,2,4,4,10,At Risk
6552,1644,12,46,1,3,3,7,Casual Users
6722,15,35,173,5,4,5,14,Champions
6832,1,41,136,5,4,4,13,Champions
6864,362,20,35,3,3,3,9,Loyal Users
6866,3254,12,24,1,3,2,6,Casual Users
6890,113,22,69,4,4,4,12,Champions
6937,27,61,112,5,5,4,14,Champions
7109,2,52,100,5,5,4,14,Champions
7404,1685,11,33,1,2,3,6,Lost
7567,101,21,64,4,3,4,11,Loyal Users
7584,29,20,123,5,3,4,12,Loyal Users
7810,4,5,13,5,1,1,7,Promising
7892,96,74,258,4,5,5,14,Champions
7987,1960,6,79,1,1,4,6,Lost
8229,582,10,52,2,2,3,7,Lost
8701,130,12,16,4,3,2,9,Loyal Users
9181,124,16,62,4,3,3,10,Loyal Users
9344,7,93,278,5,5,5,15,Champions
9575,0,12,30,5,3,2,10,Loyal Users
9675,17,66,251,5,5,5,15,Champions
9914,18,126,243,5,5,5,15,Champions
10090,445,9,10,3,2,1,6,Casual Users
10257,49,109,579,5,5,5,15,Champions
10264,30,63,284,5,5,5,15,Champions
10416,266,37,199,3,4,5,12,Loyal Users
10597,293,92,339,3,5,5,13,Loyal Users
10786,211,79,248,3,5,5,13,Loyal Users
11143,0,94,257,5,5,5,15,Champions
11243,1786,5,30,1,1,2,4,Lost
12184,59,73,251,5,5,5,15,Champions
12207,13,42,171,5,4,5,14,Champions
12264,347,29,131,3,4,4,11,Loyal Users
12694,276,10,71,3,2,4,9,Casual Users
13468,17,14,29,5,3,2,10,Loyal Users
13500,92,60,86,4,5,4,13,Champions
133,1284,26,65,1,4,4,9,At Risk
296,2046,6,9,1,1,1,3,Lost
472,105,16,51,4,3,3,10,Loyal Users
853,379,7,14,3,2,1,6,Casual Users
1466,30,5,12,5,1,1,7,Promising
1718,133,126,249,4,5,5,14,Champions
1766,35,132,352,5,5,5,15,Champions
1787,5,14,44,5,3,3,11,Loyal Users
1888,859,13,20,2,3,2,7,Casual Users
2035,152,54,171,4,5,5,14,Champions
2238,90,51,135,4,5,4,13,Champions
2542,33,36,51,5,4,3,12,Loyal Users
2874,13,53,128,5,5,4,14,Champions
3062,118,11,39,4,2,3,9,Promising
3242,415,12,14,3,3,1,7,Loyal Users
3306,268,18,31,3,3,2,8,Loyal Users
3691,117,16,24,4,3,2,9,Loyal Users
4097,222,23,55,3,4,3,10,Loyal Users
4291,2423,6,22,1,1,2,4,Lost
4396,1507,6,6,1,1,1,3,Lost
4583,423,53,82,3,5,4,12,Loyal Users
4612,984,9,14,2,2,1,5,Lost
4799,2,99,537,5,5,5,15,Champions
4838,96,35,87,4,4,4,12,Champions
4859,492,5,18,2,1,2,5,Lost
5061,2304,6,14,1,1,1,3,Lost
5100,1952,5,6,1,1,1,3,Lost
5140,81,67,228,4,5,5,14,Champions
5178,125,14,24,4,3,2,9,Loyal Users
5670,125,37,82,4,4,4,12,Champions
5929,4160,6,7,1,1,1,3,Lost
6010,1240,7,24,2,2,2,6,Lost
6376,33,84,167,5,5,5,15,Champions
6557,32,89,286,5,5,5,15,Champions
7206,0,44,172,5,4,5,14,Champions
7222,834,5,10,2,1,1,4,Lost
7736,92,28,61,4,4,3,11,Loyal Users
8249,841,8,16,2,2,2,6,Lost
8409,2,30,40,5,4,3,12,Loyal Users
8450,548,9,27,2,2,2,6,Lost
8482,1,81,132,5,5,4,14,Champions
8534,313,83,303,3,5,5,13,Loyal Users
8612,115,6,22,4,1,2,7,Promising
8640,105,48,124,4,5,4,13,Champions
8857,1440,5,22,1,1,2,4,Lost
8927,423,5,7,3,1,1,5,Casual Users
8950,82,86,427,4,5,5,14,Champions
9338,71,63,195,4,5,5,14,Champions
9475,254,50,132,3,5,4,12,Loyal Users
9721,116,51,413,4,5,5,14,Champions
10013,3285,9,15,1,2,1,4,Lost
10128,127,44,212,4,4,5,13,Champions
10605,1705,14,29,1,3,2,6,Casual Users
10611,432,25,117,3,4,4,11,Loyal Users
10882,6,74,405,5,5,5,15,Champions
11014,58,38,223,5,4,5,14,Champions
11287,107,34,83,4,4,4,12,Champions
11402,482,20,24,2,3,2,7,Casual Users
11459,2089,11,14,1,2,1,4,Lost
11487,723,10,37,2,2,3,7,Lost
11550,697,14,48,2,3,3,8,Casual Users
12260,788,49,94,2,5,4,11,At Risk
12530,366,12,49,3,3,3,9,Loyal Users
12717,106,52,102,4,5,4,13,Champions
13313,238,64,240,3,5,5,13,Loyal Users
13544,740,6,7,2,1,1,4,Lost
78,3,27,125,5,4,4,13,Champions
322,108,39,152,4,4,5,13,Champions
513,127,8,16,4,2,2,8,Promising
918,714,16,19,2,3,2,7,Casual Users
1005,1098,15,74,2,3,4,9,Casual Users
1016,980,17,33,2,3,3,8,Casual Users
1133,156,33,336,4,4,5,13,Champions
1808,1676,6,21,1,1,2,4,Lost
2396,2,54,207,5,5,5,15,Champions
2848,597,5,24,2,1,2,5,Lost
3577,422,13,45,3,3,3,9,Loyal Users
3657,124,23,51,4,4,3,11,Loyal Users
3703,995,5,5,2,1,1,4,Lost
4167,968,8,12,2,2,1,5,Lost
4531,1013,8,10,2,2,1,5,Lost
4624,128,11,34,4,2,3,9,Promising
4697,130,77,289,4,5,5,14,Champions
5030,2119,7,25,1,2,2,5,Lost
5211,720,6,21,2,1,2,5,Lost
5457,434,8,12,3,2,1,6,Casual Users
5692,1133,12,56,2,3,3,8,Casual Users
5867,531,47,136,2,5,4,11,At Risk
5920,6,6,9,5,1,1,7,Promising
5949,1449,5,8,1,1,1,3,Lost
6082,430,17,26,3,3,2,8,Loyal Users
6142,165,18,40,4,3,3,10,Loyal Users
6378,2370,6,18,1,1,2,4,Lost
6678,84,9,24,4,2,2,8,Promising
6911,3943,6,34,1,1,3,5,Lost
7283,1410,16,55,1,3,3,7,Casual Users
7912,83,46,94,4,5,4,13,Champions
8051,1983,12,15,1,3,1,5,Casual Users
8145,116,41,94,4,4,4,12,Champions
8146,365,6,7,3,1,1,5,Casual Users
8231,3278,9,10,1,2,1,4,Lost
8627,35,58,286,5,5,5,15,Champions
8664,13,26,59,5,4,3,12,Loyal Users
8845,267,6,25,3,1,2,6,Casual Users
9018,570,6,7,2,1,1,4,Lost
9258,274,32,60,3,4,3,10,Loyal Users
9433,410,58,117,3,5,4,12,Loyal Users
9470,530,12,54,2,3,3,8,Casual Users
9731,5086,5,20,1,1,2,4,Lost
9867,5677,5,33,1,1,3,5,Lost
9925,700,14,20,2,3,2,7,Casual Users
10143,961,12,52,2,3,3,8,Casual Users
10183,288,19,41,3,3,3,9,Loyal Users
10267,651,20,54,2,3,3,8,Casual Users
10366,35,40,119,5,4,4,13,Champions
10443,423,13,15,3,3,1,7,Loyal Users
10530,92,19,46,4,3,3,10,Loyal Users
10532,136,51,153,4,5,5,14,Champions
10558,132,33,35,4,4,3,11,Loyal Users
10947,1946,15,41,1,3,3,7,Casual Users
11024,92,82,197,4,5,5,14,Champions
11194,775,8,57,2,2,3,7,Lost
11894,709,15,60,2,3,3,8,Casual Users
12118,155,29,108,4,4,4,12,Champions
12238,130,20,43,4,3,3,10,Loyal Users
12344,89,9,9,4,2,1,7,Promising
12559,132,128,534,4,5,5,14,Champions
12723,5,120,204,5,5,5,15,Champions
12727,474,12,24,2,3,2,7,Casual Users
12757,91,94,857,4,5,5,14,Champions
321,10,59,90,5,5,4,14,Champions
362,138,20,39,4,3,3,10,Loyal Users
613,3687,20,54,1,3,3,7,Casual Users
633,292,24,76,3,4,4,11,Loyal Users
673,167,65,299,3,5,5,13,Loyal Users
857,5247,6,34,1,1,3,5,Lost
961,297,20,33,3,3,3,9,Loyal Users
974,155,13,21,4,3,2,9,Loyal Users
1160,677,10,23,2,2,2,6,Lost
1533,287,16,30,3,3,2,8,Loyal Users
2479,3991,5,5,1,1,1,3,Lost
2564,3807,5,17,1,1,2,4,Lost
2625,13,59,119,5,5,4,14,Champions
2971,233,35,135,3,4,4,11,Loyal Users
3087,155,18,43,4,3,3,10,Loyal Users
3149,7,29,48,5,4,3,12,Loyal Users
4061,98,22,90,4,4,4,12,Champions
4119,667,58,149,2,5,5,12,At Risk
4126,434,19,31,3,3,2,8,Loyal Users
4259,154,19,36,4,3,3,10,Loyal Users
4512,1859,8,8,1,2,1,4,Lost
4725,429,12,26,3,3,2,8,Loyal Users
5222,1868,11,20,1,2,2,5,Lost
5251,123,48,142,4,5,4,13,Champions
5427,1350,7,15,1,2,1,4,Lost
5529,1844,33,82,1,4,4,9,At Risk
5543,34,97,415,5,5,5,15,Champions
5934,2503,9,30,1,2,2,5,Lost
6108,345,48,76,3,5,4,12,Loyal Users
6145,247,32,52,3,4,3,10,Loyal Users
6237,606,21,36,2,3,3,8,Casual Users
6939,391,33,138,3,4,4,11,Loyal Users
7131,1039,20,40,2,3,3,8,Casual Users
7169,25,25,53,5,4,3,12,Loyal Users
7817,184,30,71,3,4,4,11,Loyal Users
8042,1427,6,11,1,1,1,3,Lost
8085,56,96,208,5,5,5,15,Champions
8628,5307,5,25,1,1,2,4,Lost
9035,138,44,116,4,4,4,12,Champions
9324,443,12,101,3,3,4,10,Loyal Users
9488,984,5,14,2,1,1,4,Lost
9898,22,130,351,5,5,5,15,Champions
10022,30,73,189,5,5,5,15,Champions
10195,425,40,98,3,4,4,11,Loyal Users
10293,7,65,346,5,5,5,15,Champions
10303,5,125,693,5,5,5,15,Champions
10435,948,26,52,2,4,3,9,At Risk
10912,2128,13,80,1,3,4,8,Casual Users
11405,5,14,18,5,3,2,10,Loyal Users
11468,988,29,52,2,4,3,9,At Risk
12085,1330,18,18,1,3,2,6,Casual Users
12315,3735,7,43,1,2,3,6,Lost
12401,3274,7,16,1,2,2,5,Lost
12436,91,14,270,4,3,5,12,Loyal Users
12523,107,5,8,4,1,1,6,Promising
13022,15,20,81,5,3,4,12,Loyal Users
13214,0,99,538,5,5,5,15,Champions
13528,246,6,13,3,1,1,5,Casual Users
375,145,17,45,4,3,3,10,Loyal Users
593,109,89,284,4,5,5,14,Champions
597,1174,44,83,2,4,4,10,At Risk
876,368,12,42,3,3,3,9,Loyal Users
976,997,7,36,2,2,3,7,Lost
1199,699,7,28,2,2,2,6,Lost
1212,439,6,14,3,1,1,5,Casual Users
1417,548,17,50,2,3,3,8,Casual Users
1468,896,9,22,2,2,2,6,Lost
1653,520,33,52,2,4,3,9,At Risk
1743,526,41,87,2,4,4,10,At Risk
2173,1142,18,46,2,3,3,8,Casual Users
2513,1707,6,13,1,1,1,3,Lost
2797,965,9,13,2,2,1,5,Lost
2835,736,39,176,2,4,5,11,At Risk
3441,2407,24,50,1,4,3,8,At Risk
3601,244,64,311,3,5,5,13,Loyal Users
4182,41,20,87,5,3,4,12,Loyal Users
4401,23,71,166,5,5,5,15,Champions
4474,98,26,127,4,4,4,12,Champions
4713,747,10,19,2,2,2,6,Lost
4762,141,19,22,4,3,2,9,Loyal Users
4782,97,178,267,4,5,5,14,Champions
4796,276,25,62,3,4,3,10,Loyal Users
